"companyNumber","result","emittedEvents","sourceCoverage","windowStartDate","resolvedEndDate","selectedFiles","fullyInspectedFiles","inspectedFileNos","sourcePageUrl","reportGeneratedAt","nextAction"
"1010001008916","MATCHES_EMITTED","1","ALL_SELECTED_FILES_INSPECTED","2026-08-25","2026-08-25","1","1","27873","https://www.houjin-bangou.nta.go.jp/download/sabun/index.html","2026-09-20T02:27:36.893Z","Review the Dataset events and official source before updating the supplier record."
"0110005003755","NO_MATCHES_IN_SELECTED_FILES","0","ALL_SELECTED_FILES_INSPECTED","2026-08-25","2026-08-25","1","1","27873","https://www.houjin-bangou.nta.go.jp/download/sabun/index.html","2026-09-20T02:27:36.893Z","Retain this check record. No matching change was found in these selected files; this is not proof of current legal status."
